FDs Used,fs,fd,ms,md
['HOG'],0.7435483870967742,0.6720797720797721,0.6545289855072463,0.713037037037037
['LBP'],0.7597782258064516,0.6682336182336183,0.6458333333333333,0.7127407407407408
['HOG' 'LBP'],0.7662298387096774,0.6868945868945869,0.6807971014492754,0.7487407407407407
['SIFT'],0.7596774193548388,0.6341880341880342,0.6588768115942029,0.681037037037037
['HOG' 'SIFT'],0.749899193548387,0.6907407407407409,0.6851449275362319,0.7410370370370369
['LBP' 'SIFT'],0.7663306451612903,0.6566951566951567,0.6893115942028986,0.7053333333333334
['HOG' 'LBP' 'SIFT'],0.7629032258064516,0.6792022792022792,0.7108695652173913,0.763851851851852
['VGG'],0.6828629032258065,0.6529914529914529,0.7494565217391305,0.7444444444444445
['HOG' 'VGG'],0.788508064516129,0.7054131054131054,0.7278985507246377,0.7795555555555556
['LBP' 'VGG'],0.7857862903225807,0.7245014245014245,0.7101449275362319,0.7570370370370371
['HOG' 'LBP' 'VGG'],0.7984879032258064,0.7132478632478632,0.7318840579710145,0.7724444444444444
['SIFT' 'VGG'],0.7820564516129032,0.6981481481481481,0.7673913043478261,0.7943703703703704
['HOG' 'SIFT' 'VGG'],0.797983870967742,0.6868945868945869,0.7452898550724638,0.7715555555555556
['LBP' 'SIFT' 'VGG'],0.7920362903225806,0.7056980056980057,0.7322463768115941,0.7835555555555556
['HOG' 'LBP' 'SIFT' 'VGG'],0.8015120967741935,0.7166666666666667,0.7628623188405796,0.792148148148148
