FDs Used,fs,fd,ms,md,fms,fmd
['HOG'],0.776,0.7607,0.7593,0.7964,0.8222,0.7736
['LBP'],0.7671,0.7091,0.7318,0.7636,0.7868,0.7647
['SIFT'],0.7691,0.7517,0.7574,0.7666,0.7947,0.7557
['VGG'],0.7505,0.7547,0.7692,0.7666,0.7839,0.7527
['CFN'],0.7387,0.7071,0.7191,0.722,0.7987,0.7408

['HOG' 'LBP'],0.8016,0.7756,0.776,0.8262,0.8379,0.8103
['HOG' 'SIFT'],0.7976,0.7825,0.7849,0.8083,0.8329,0.7934
['LBP' 'SIFT'],0.8055,0.7756,0.7701,0.8024,0.8281,0.7974
['HOG' 'VGG'],0.8173,0.8053,0.8242,0.8242,0.8556,0.8182
['LBP' 'VGG'],0.8192,0.7826,0.7986,0.8044,0.8537,0.8024
['SIFT' 'VGG'],0.8094,0.7964,0.8075,0.8053,0.8369,0.7944
['HOG' 'CFN'],0.8104,0.7806,0.7976,0.8223,0.8762,0.8073
['LBP' 'CFN'],0.7986,0.7488,0.7741,0.7825,0.8468,0.8143
['SIFT' 'CFN'],0.7996,0.7855,0.8045,0.7865,0.8606,0.8123
['VGG' 'CFN'],0.8075,0.8024,0.8124,0.8163,0.8635,0.8122

['HOG' 'LBP' 'SIFT'],0.8163,0.7945,0.7937,0.8371,0.8448,0.8113
['HOG' 'LBP' 'VGG'],0.8379,0.8153,0.8163,0.8401,0.8752,0.8312
['HOG' 'SIFT' 'VGG'],0.8212,0.8183,0.8183,0.8391,0.8585,0.8212
['LBP' 'SIFT' 'VGG'],0.8281,0.8064,0.8055,0.8212,0.8536,0.8292
['HOG' 'LBP' 'CFN'],0.8369,0.7935,0.8035,0.8401,0.8821,0.8252
['HOG' 'SIFT' 'CFN'],0.8192,0.8153,0.8173,0.8352,0.8772,0.8242
['LBP' 'SIFT' 'CFN'],0.8379,0.7935,0.8084,0.8192,0.8743,0.8292
['HOG' 'VGG' 'CFN'],0.8458,0.8381,0.8418,0.853,0.887,0.8321
['LBP' 'VGG' 'CFN'],0.8428,0.8084,0.832,0.8322,0.8753,0.8262
['SIFT' 'VGG' 'CFN'],0.8389,0.8252,0.8428,0.8312,0.8713,0.8212

['HOG' 'LBP' 'SIFT' 'VGG'],0.8399,0.8133,0.8271,0.8461,0.8664,0.8411
['HOG' 'LBP' 'SIFT' 'CFN'],0.8408,0.8104,0.8163,0.8471,0.8792,0.8411
['HOG' 'LBP' 'VGG' 'CFN'],0.8546,0.8401,0.8379,0.855,0.8949,0.8431
['HOG' 'SIFT' 'VGG' 'CFN'],0.8546,0.8481,0.8418,0.8629,0.8792,0.8391
['LBP' 'SIFT' 'VGG' 'CFN'],0.8487,0.8104,0.8399,0.8391,0.8821,0.8361

['HOG' 'LBP' 'SIFT' 'VGG' 'CFN'],0.8556,0.8302,0.8438,0.8609,0.889,0.8421

